                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4001,                 1.0118,                0.92277,                0.43249,                0.31653,                0.32414,                0.18694,                 1.3699,                 1.0048,                0.91519,               0.007129,               0.007129,               0.007129
                     60,                 1.3951,                 1.0094,                0.92199,                0.41831,                0.32844,                0.32387,                0.18693,                 1.3642,                0.99671,                 0.9132,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3964,                 1.0097,                0.92112,                0.42461,                0.32797,                0.32679,                0.18967,                 1.3589,                0.99428,                0.91283,                0.00703,                0.00703,                0.00703
                     62,                 1.3948,                 1.0012,                0.92034,                0.43322,                0.32953,                0.33138,                0.19122,                 1.3626,                0.99644,                 0.9124,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3933,                 1.0027,                0.92037,                0.42795,                0.32795,                0.32491,                0.18846,                 1.3592,                0.99482,                0.91255,               0.006931,               0.006931,               0.006931
                     64,                 1.3897,                 1.0006,                0.91985,                0.43122,                  0.327,                0.32653,                0.19004,                 1.3621,                0.99477,                0.91186,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3902,                 1.0005,                 0.9206,                0.43242,                0.32886,                0.32606,                0.19016,                  1.358,                0.98777,                0.91168,               0.006832,               0.006832,               0.006832
                     66,                 1.3936,                 1.0011,                0.91897,                 0.4303,                0.32683,                0.32664,                0.19034,                  1.356,                0.99035,                0.91053,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3832,                0.99028,                0.91894,                0.42775,                0.33362,                0.32928,                0.19136,                 1.3482,                0.98165,                 0.9105,               0.006733,               0.006733,               0.006733
                     68,                 1.3908,                0.99923,                0.91886,                0.43893,                0.32925,                0.32915,                0.19221,                 1.3516,                0.98483,                0.90973,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3816,                0.98737,                0.91774,                0.43607,                0.33255,                0.33211,                0.19318,                 1.3515,                0.98038,                0.91093,               0.006634,               0.006634,               0.006634
                     70,                 1.3924,                0.99259,                0.91681,                0.43262,                 0.3348,                0.33053,                0.19207,                 1.3482,                0.98119,                0.90894,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3834,                0.98821,                0.91806,                0.43906,                0.33768,                 0.3327,                0.19299,                  1.347,                0.97844,                0.90946,               0.006535,               0.006535,               0.006535
                     72,                 1.3799,                0.98907,                0.91736,                0.43121,                0.33807,                0.33113,                0.19275,                 1.3489,                0.98043,                0.90859,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3835,                0.98631,                0.91689,                 0.4349,                0.33404,                0.33191,                0.19256,                 1.3492,                0.98528,                0.90933,               0.006436,               0.006436,               0.006436
                     74,                 1.3852,                0.98832,                0.91719,                0.42679,                0.33906,                0.33396,                0.19414,                 1.3447,                0.98042,                0.90878,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3756,                0.98183,                0.91582,                0.42189,                0.34062,                0.33444,                0.19447,                 1.3461,                0.97743,                0.90866,               0.006337,               0.006337,               0.006337
                     76,                 1.3743,                0.97839,                0.91602,                0.42951,                0.34099,                0.33473,                0.19434,                 1.3512,                0.98014,                0.91085,              0.0062875,              0.0062875,              0.0062875
